02907099999	19010101	-72
02907099999	19010102	-28
02907099999	19010103	-28
02907099999	19010104	-33
02907099999	19010105	6
02907099999	19010106	6
02907099999	19010107	-33
02907099999	19010108	-28
02907099999	19010109	-28
02907099999	19010110	-44
02907099999	19010111	-39
02907099999	19010112	-22
02907099999	19010113	0
02907099999	19010114	-33
02907099999	19010115	22
02907099999	19010116	28
02907099999	19010117	-17
02907099999	19010118	-44
02907099999	19010119	-22
02907099999	19010120	-22
02907099999	19010121	-17
02907099999	19010122	-6
02907099999	19010123	11
02907099999	19010124	17
02907099999	19010125	6
02907099999	19010126	-6
02907099999	19010127	-28
02907099999	19010128	-28
02907099999	19010129	-11
02907099999	19010130	-33
02907099999	19010131	-61
02907099999	19010201	-67
02907099999	19010202	-22
02907099999	19010203	-33
02907099999	19010204	-61
02907099999	19010205	-28
02907099999	19010206	-122
02907099999	19010207	-111
02907099999	19010208	-117
02907099999	19010209	-106
02907099999	19010210	-106
02907099999	19010211	-122
02907099999	19010212	-128
02907099999	19010213	-100
02907099999	19010214	-178
02907099999	19010215	-178
02907099999	19010216	-106
02907099999	19010217	-122
02907099999	19010218	-89
02907099999	19010219	-78
02907099999	19010220	-61
02907099999	19010221	-44
02907099999	19010222	-139
02907099999	19010223	-144
02907099999	19010224	-156
02907099999	19010225	-106
02907099999	19010226	-111
02907099999	19010227	-72
02907099999	19010228	-156
02907099999	19010301	-150
02907099999	19010302	-133
02907099999	19010303	-67
02907099999	19010304	-22
02907099999	19010305	-17
02907099999	19010306	22
02907099999	19010307	0
02907099999	19010308	-6
02907099999	19010309	-11
02907099999	19010310	0
02907099999	19010311	22
02907099999	19010312	-6
02907099999	19010313	17
02907099999	19010314	-11
02907099999	19010315	6
02907099999	19010316	-6
02907099999	19010317	-28
02907099999	19010318	-50
02907099999	19010319	-39
02907099999	19010320	-33
02907099999	19010321	-61
02907099999	19010322	-28
02907099999	19010323	17
02907099999	19010324	-11
02907099999	19010325	-111
02907099999	19010326	-94
02907099999	19010327	-100
02907099999	19010328	-89
02907099999	19010329	-72
02907099999	19010330	-56
02907099999	19010331	-39
02907099999	19010401	11
02907099999	19010402	17
02907099999	19010403	0
02907099999	19010404	28
02907099999	19010405	17
02907099999	19010406	0
02907099999	19010407	-6
02907099999	19010408	22
02907099999	19010409	22
02907099999	19010410	33
02907099999	19010411	28
02907099999	19010412	-6
02907099999	19010413	0
02907099999	19010414	-28
02907099999	19010415	-50
02907099999	19010416	-44
02907099999	19010417	0
02907099999	19010418	6
02907099999	19010419	0
02907099999	19010420	-6
02907099999	19010421	-6
02907099999	19010422	17
02907099999	19010423	17
02907099999	19010424	17
02907099999	19010425	28
02907099999	19010426	22
02907099999	19010427	28
02907099999	19010428	33
02907099999	19010429	22
02907099999	19010430	28
02907099999	19010501	44
